id,question,ground_truth,predicted,raw_output,correct,rag_context
e086afec-9497-432b-ac84-19af4f460f6e,Which is a serine protease:,B,B,B. Trypsinogen 1,True,"Antithrombin is part of a family of serine protease inhibitors known as serpins. Serpins generally consist of a highly conserved structure of amino acid chains organized into three beta-sheets, nine alpha sheets, and a reactive center loop (RCL) designated as the sequence of amino acids which serve as the reactive site for protease interaction [4] . The RCL loop in antithrombin exists along the amino acid chain sequence at the 393 arginine residue and 394 serine residue near the carboxyl-terminal of the amino acid sequence. It is the region within the antithrombin that creates the antithrombin-protease complex for inhibition. [4] ||| Although the extrinsic pathway involves fewer steps than the common pathway, the role of serine proteases is just as important. When external insult occurs, clotting factor VII, along with its cofactor tissue thromboplastin, becomes an active protease and catalyzes X into Xa, which leads to the common pathway. ||| PSA is a serine protease enzyme produced by the columnar epithelium of prostatic tissue. The proenzymatic intracellular form of PSA is pro-PSA. Following cellular production, pro-PSA passes through the basal and endothelial cell layers before entering the prostatic ducts, where it is converted to active PSA, finally penetrating the capillary membranes to enter the systemic circulation. [7] A small portion of this active PSA undergoes proteolysis, becoming inactive or free PSA when it enters the bloodstream and remains unbound. Active PSA that reaches the bloodstream rapidly becomes bound to circulating protease inhibitors. [8] The age-adjusted percent free to protein-bound PSA ratio is a useful indicator of cancer as the free PSA/total PSA ratio tends to decrease in malignancy. Please refer to "" Free and Total PSA "" in the Results section for more information."
52273733-3475-4dc8-8e26-0b8fb1555e30,Percentage of glutaraldehyde used ?,B,A,A. 1%,False,"Aldehyde disinfectants are classified into 3 essential categories, as mentioned below. Glutaraldehyde is a dialdehyde with bactericidal properties. By binding to the outer layers of Escherichia coli and Staphylococcus aureus , glutaraldehyde provides coverage against gram-negative bacteria, has sporicidal properties, offers fungal coverage, and acts as a potent virucidal agent. [1] Glutaraldehyde is routinely used to clean medical equipment, such as endoscopes. Thorough rinsing of this disinfectant from the equipment is essential to prevent complications, such as colitis, following a colonoscopy. [4] [5] [6] ||| Cataract (5% or less) ||| Atropine 1% Cyclopentolate 1% Homatropine 2.5% [42]"
04bbd3ee-990c-4a18-a095-953ee2dabef0,The following organism because of its easy culture methods is widely used as bacteriology indicator of water pollution-,B,B,B. Escherichia col,True,"A third clinically relevant aspect of bacteriophages is that their detection can be used as a biomarker for the presence of their host in a complex environmental sample. This is most commonly used as a surrogate for fecal contamination of water sources. If the phage is present, the host most likely is as well. Alternatively, phages have been engineered to produce a detectable molecule, such as luciferase, when they infect their host to detect bacteria in a mixed environmental sample. [13] ||| Legionella spp are found worldwide in aquatic environments and ecosystems, including soil, natural, and artificial water environments such as rivers, ponds, cooling towers, and water supply systems in buildings. [10] Any aerosol-generating device that uses contaminated water serves as a vehicle for pathogen dissemination and can facilitate and cause human infection. These bacteria have been recovered from showerheads, faucets, whirlpool spas, and respiratory ventilators. [14] Following the establishment of colonization within a water system, eradication is exceedingly difficult to achieve. Legionella spp are known to form biofilms, which can enhance their survival. [11] Legionnaires' disease also exhibits a seasonal pattern, with an increased incidence linked to higher rainfall and temperatures. [15] ||| Called the ""microbial barometer of climate change,"" the Vibrio vulnificus pathogen thrives in warm, moderately salinated water, and its degradation of chitin is important to the marine ecosystem. The bacteria may exist independently or be hosted by invertebrates, eg, crustaceans and shellfish, in which they may concentrate and thus be more infectious to consumers. [8] Water with salt content between 15 and 25 parts per thousand, and areas with increased chlorophyll are most hospitable for V vulnificus , and areas with subtropical monsoon-type climates are particularly prone to their proliferation. [8]"
506b1c4e-109c-477a-9dc9-c445286458ca,Death sentence can be awarded by:,D,D,D. Sessions court,True,"This is the individual responsible for completing the medical portion of the death certificate. This includes the time, date, cause, and manner of death. ||| The death certificate is a medical opinion regarding the cause of death based on the available information at the time of death. Lawsuits against health care practitioners for signing a death certificate are extremely rare, and when there is a lawsuit, the certifier of death is usually not held liable. The death certificate can be subject to amendment. ||| A death certificate can be issued after the test is completed. Once a patient is declared brain dead, mechanical ventilation can be discontinued. However, the family should be treated with sensitivity and respect. Reasonable accommodation should be made for the families to come to terms with brain death. Institutional policies are usually put in place to address the issues and concerns family members might have during the process of certification of death based on brain death criteria. [19]"
2c331a51-4be5-4c14-9c60-c105d734e8b2,Which NSAID undergoes enterohepatic circulation?,D,C,C. Ibuprofen,False,"Patients with a history of chronic NSAID/analgesic use can be asymptomatic usually and are generally picked up on routine investigations. This situation can pose a challenge, as there are seldom any gross abnormal manifestations or symptoms. The first abnormality noted will be seen on urinalysis. Sterile pyuria, microscopic or gross hematuria, and proteinuria may be present. Deranged urine concentrating capacity, irregularities in acidifying the urine, and abnormal sodium conservation may be seen. [3] ||| Most NSAIDs are derived from organic acids and are rapidly absorbed from the gastrointestinal (GI) tract. They undergo extensive hepatic metabolism and are excreted through glomerular filtration and tubular secretion. Consequently, NSAIDs are typically contraindicated in patients with severe hepatic and renal dysfunction. Due to their high plasma protein binding, NSAIDs readily accumulate at sites of inflammation, providing rapid analgesic relief within 30 to 60 minutes. ||| Rectal nonsteroidal anti-inflammatory drug (NSAID) administration decreases the incidence of PEP; thus, an indomethacin or diclofenac 100 mg suppository is given immediately before, during, or promptly after the procedure. An NSAID suppository is recommended in all patients except for those in whom the risk of PEP is negligible, such as those with chronic calcific pancreatitis who have had uncomplicated ERCPs in the past or who have had a biliary sphincterotomy and require biliary endotherapy for retained stones, strictures, or bile leaks."
af5fafaf-f6c9-4f8c-9746-654d80e71322,Descending order of types of viruses causing paralytic polio,C,C,"C. Type 1, type",True,"Worsening epidemics led to intense scrutiny and identification of the three serotypes of poliovirus (categorized within Enterovirus C (EV-C) today) and then, in 1954, the development of the poliovirus vaccine. Polioviruses continue to be the only viruses within the Enterovirus genus for which a vaccine is available and effective. The western hemisphere was free of paralytic poliomyelitis in 1991; however, it is still found in regions of Asia and Africa. Coxsackieviruses and echoviruses remain major causes of aseptic meningitis globally, in both epidemic and endemic forms, based on the local environment. ||| Poliovirus, the most comprehensively studied enterovirus with neurological involvement, presents mostly in children under five years old, and in multiple forms. In the abortive form, a mild illness lasts approximately one week, resolves, and terminates with a full recovery. The nonparalytic form causes serous meningitis with meningeal symptoms but without lasting paralysis. The most dangerous, paralytic, form, affects 1% of patients, with paralysis occurring within hours, due to damage caused to the spinal cord anterior horn. Paralysis is irreversible in a minority of patients, but this form is associated with a 10% mortality. 90% to 95% of poliovirus infections are asymptomatic/subclinical. ||| Polio has afflicted humans since ancient times, first exposing infants at an early age when maternal antibodies are present and then repeatedly over the lifetime, resulting in persistently high antibody levels. As such, paralytic polio was likely uncommon. [10] [11] With the advent of modern sanitation, medical anthropologists believe early exposure to poliovirus became less common, and maternal antibody levels decreased, leading to massive outbreaks with high rates of paralysis in the early 20th century. [11] [ GPEI. Polio History ] By the mid-20th century, the virus killed or paralyzed about 500,000 people worldwide yearly. A United States (US) outbreak in 1916 killed more than 8000 people; another in 1952 killed 3000 and resulted in 20,000 cases of paralysis. [9] Case rates in the US dropped by 99% only 6 years after the first poliovirus vaccine became available. [9] The most recent case of WPV acquired in the US was in 1979. The most recent case in all of the Americas occurred in 1991.[ CDC. Yellow_Book ] WPV1 has been the primary cause of most of the world's paralytic polio cases throughout history and is the only circulating subtype; WPV1 remains endemic in Pakistan and Afgha"
7b4d7139-c865-40cc-8570-e58c347d16ef,Radiotherapy associated caries is due to irradiation of which part most probably?,C,D,D. Lower jaw,False,"Radiation-related caries is a very aggressive type of tooth decay that develops in dental surfaces normally resistant to caries. [15] The labial surfaces of the cervical areas are mostly involved. [2] The lingual aspect of lower anterior teeth, which are not normally prone to caries, is also affected by radiation-related caries. [16] The etiology is not well understood, but it is believed to be caused by the decreased salivary flow levels experienced during radiotherapy and direct radiation damage to the dental structures. [16] Radiation caries are generalized and precipitate about 6 to 12 months after head and neck radiation treatment. Lesions usually begin as enamel cracks and fractures and evolve into brown-black enamel discoloration. [16] If the lesions are not diagnosed and treated promptly, they soon progress to incisal-cuspal wear and widespread cervical caries, eventually leading to the amputation of the crown. [16] Osteoradionecrosis ||| On radiographs, carious lesions appear as low-density areas under the tooth structure. This area represents demineralization and dissolution of hard tissue. When viewed radiographically, interproximal caries begin apical to the contact point and are cone-shaped. The base points toward the periphery and caries spreads along the dentin-enamel junction. Occlusal caries affects the base of pits and fissures of tooth structure and first appears as a radiolucent dot at the depth of the fissure. Occlusal caries can be identified as thin radiolucent lines at the dentin-enamel junction. [7] Root and cement caries can be identified as interproximal notched radiolucencies, coronal to the bone height, and apical to the cement-enamel junction. Recurrent or secondary caries occur in teeth that have already been restored. These caries are identified by low-density areas of demineralization seen adjacent to or under the restoration site. Lining materials are frequently misidentified as recurrent caries, so it is important to distinguish between them. ||| The most common complication of radiation therapy is skin changes. The skin may become red and dry, leading to scarring and infection. Radiation cystitis, proctitis, and vaginitis can also occur. In the long run, the inflamed tissue may scar and cause stenosis of the vaginal and anal canal. A communication between the vagina, bowel, and skin called a fistula can also form. Radiation leads to inflammation and damage to ovaries and can cause premature ovarian failure leading to premature menopause. [20] [21]"
8022bedb-716d-406c-a52e-3195653c7382,Role of Vitamin K for activation in dotting cycle-,A,A,A. Carboxylation,True,"Warfarin is a compound used for anticoagulation that blocks the action of VKOR and results in decreased amounts of vitamin K and vitamin K hydroquinone, which prevents any efficiency by the glutamyl carboxylase enzyme and prevents the carboxylation reaction from occurring. As a result, clotting factors get produced without an adequate number of Gla amino termini. These ‘inactive” factors can no longer create stable bonds to blood vessels endothelium; therefore, no clot formation will result even after endothelial injury. In conclusion, the enzymes that participate in the vitamin K cycle include gamma-glutamyl carboxylase (GGCX), vitamin K epoxide reductase (VKOR), and an as-yet-unidentified vitamin K reductase (VKR). Vitamin K is a lipophilic compound and leads to the belief that vitamin K cycle enzymes are integral membrane proteins in the endoplasmic reticulum. Mutations in these enzymes result in the patient that possesses bleeding disorders or resistance to anticoagulation. [1] [11] [12] ||| Vitamin K is necessary to activate certain clotting factors in the liver responsible for coagulation. For activation to occur, the clotting proteins must bind calcium. Vitamin K-dependent gamma-carboxylation of certain glutamic acid residues allows the proteins to bind calcium and carry out the coagulation cascade. Specifically, vitamin K serves as a cofactor for gamma-glutamyl carboxylase and catalyzes the post-translational synthesis of gamma-carboxy-glutamyl residues. This process activates prothrombin and factors VII, IX, X, protein C, and S. Oxidation of vitamin K hydroquinone supplies energy for these carboxylation reactions. Regeneration of vitamin K hydroquinone relies on vitamin K epoxide reductase and vitamin K quinone reductase. ||| The primary function of vitamin K2 is adding carboxylic acid groups to glutamate residues (Glu) to form gamma-carboxyglutamate residues (Gla) during the creation of clotting factors. The presence of two carboxylic acid groups on a single carbon that resides in the gamma-carboxyglutamate residue allows for the chelation of calcium ions. The binding of calcium ions in this fashion is of crucial importance for vitamin K-dependent clotting factors, permitting the perpetuation of the clotting cascades. Vitamin K is also responsible as a factor in synthesizing prothrombin, factor VII, factor IX, and factor X. [1] [9]"
1f5ec472-ed47-4eda-8a99-2c9716a0cbe2,A patient presents with a frontal abscess. Foul-smelling pus is aspirated. Pus shows red fluorescence on the ultraviolet examination. The most likely organism causing the frontal abscess is,A,A,A. Prevotella,True,"Patients who have had a rupture of the abscess intraorally may complain of foul tasting and smelling secretions as a result of pus in the oral cavity. As with any infection in the head and neck, a thorough neck and cranial nerve exam should be performed to assess for other possible sources and causes of infection. [13] ||| An intraabdominal abscess is a localized collection of pus within the peritoneal or retroperitoneal space, often resulting from infections, surgical complications, or trauma. If unrecognized or untreated, these abscesses can lead to significant morbidity and mortality. Diagnosis often requires a high index of suspicion and imaging studies like computed tomography scans, while treatment involves antibiotics, drainage, and, in some cases, surgical intervention. Factors such as comorbidities, delayed diagnosis, and antibiotic resistance can complicate outcomes, emphasizing the need for a systematic, interprofessional approach to care. ||| If treatment is delayed, cellulitis can progress to suppuration and abscess formation. Pus will often collect alongside the lingual or buccal cortex of the mandible or maxilla, depending on the tooth affected. An abscess clinically appears similar to cellulitis with tenderness, induration, and erythema. Physical exam findings more suggestive of an abscess include fluctuance, significant mass effect, and suppurative dental sockets. Most minor abscesses do not require a CT scan and can be identified with POCUS; an abscess will appear as an anechoic, occasionally loculated mass commonly along the cortex of its corresponding bone. [17] [6] [5]"
453173bf-6579-4375-9b11-55785c6b9c8e,Type-I lepra reaction is commonly seen in:,C,C,C. Borderline tubercul,True,"Leprosy is a disease with myriad different presentations, largely due to the broad immune response towards the M. leprae strain. ||| In individuals with no observed resistance to the M . leprae strain are shown to have several ill-marked, raised lesions throughout the body. This type of infection, with a considerable affliction of disease, is labeled as polar lepromatous. It is important to note that these persons have no record of immunosuppression; however, they are not able to build immunity to M. leprae . ||| These types of reactions are systemic responses that could occur before the start of treatment, during treatment, or even a significant time after the treatment has been completed. [42] There are two different types of leprosy reactions, T1R (Type 1 reversal reaction) and T2R, also known as erythema nodosum leprosum (ENL). Patients with borderline disease involve T1R, while lepromatous disease usually involves T2R. Both of these reactions require further investigation, specifically the mechanisms of response and the overall factors needed for them to proceed. [4]"
b8a32a38-4d3d-492e-8c95-dab9cb707ebd,Commonest complication of Zenker&;s diveiculum is,C,D,D. Perforation,False,"Histological examination of a Zenker diverticulum is rarely done. Microscopic evaluation of the pouch usually shows a sac containing stratified squamous epithelium, and the submucosa lining often shows fibrous tissue. Rarely, ulcerations or evidence of cancer, squamous cell or carcinoma in situ, may be present. ||| Complications of this disease are varied and dependant on the surgical approach taken, patient age and comorbidities. Since this disease is mainly a disease of the elderly, the prognosis is typically poor, and recurrence rates are high. A serious complication of Zenker diverticulum is aspiration. Other complications include bleeding, fistula formation with the trachea and obstruction of the esophagus. Patients and clinicians need to aware of potential complications which include recurrent laryngeal nerve paralysis, mediastinitis, esophageal perforation/stenosis, cervical emphysema, among others. ||| Zenker's diverticulum is a type of diverticulum that develops in the hypopharynx, typically between the cricopharyngeus (CP) muscle and the inferior pharyngeal constrictor muscle. It only involves the mucosa and submucosal layers and does not involve the muscular layer, hence making it a false diverticulum. It may also occur in other parts of the esophagus, such as between the oblique and transverse fibers of the CP muscle, known as Killian-Jamieson area, and between the CP muscle and the esophageal muscles, known as Laimer triangle. [1] [2] [3]"
